likes,about_post,date,type,comments,tagged_names
2086857.0, jacquelinef143 Verified #gendaphoolOUTNOW!          ,MARCH 27,post,2175.0,  @badboyshah @sonymusicindia @magicsneya @shaziasamji @piyush_bhagat @shaanmu @chandiniw @styledbystaceycardoz @manishmalhotra05 @falgunishanepeacockindia 29w
2778566.0, jacquelinef143 Verified #gendaphoolOUTNOW!!Linkinbio! 29w,MARCH 26,video,5509.0, 
1487279.0, jacquelinef143 Verified #gendaphoolreleasingtomo!GoingLIVEwithyourboy at430pmtodaysoseeyouthere!!! 30w,MARCH 25,post,4880.0,  @badboyshah
835385.0, jacquelinef143 Verified #gendaphoolreleasingtomo!GoingLIVEwithyourboy at430pmtodaysoseeyouthere!!! 30w,MARCH 23,post,4130.0,  @badboyshah
4636343.0, jacquelinef143 Verified Justalittlesomething💖  Myprayerstoallthosesufferingfromthevirusandallthoseriskingtheirlivestokeepussafe💖💖 30w,MARCH 21,video,2188.0, 
3049611.0," jacquelinef143 Verified Thisis1suryanamaskar,20minsyoucando20andit’sagreatworkout!Ido108😁yogatotherescue!!! 30w",MARCH 19,video,16900.0, 
1139138.0, jacquelinef143 Verified OnemustreadinquarantinetimesaysMasterYoda💙 31w,MARCH 17,video,4649.0, 
4379813.0, jacquelinef143 Verified 💖makesureyouputonsomegoodrelaxingmusic💖💖💖andbreathe!!! 31w,MARCH 16,video,5762.0, 
7656216.0," jacquelinef143 Verified Stretch💖keepthatspinehealthyandhappy!Yogaposesaremyfav,anytime,anywhere! 31w",MARCH 16,video,6067.0, 
2072714.0, jacquelinef143 Verified Peachesandsunshine🍑🧡☀️💛 31w,MARCH 12,post,7768.0, 
1181911.0, jacquelinef143 Verified Holimoli💛🧡❤️ 32w,MARCH 10,post,3375.0, 
962003.0, jacquelinef143 Verified 🌈holi💛💜💗💙 32w,MARCH 10,post,1423.0, 
729247.0, jacquelinef143 Verified HappyHoli!!💖💖💖 32w,MARCH 10,post,4526.0, 
598802.0, jacquelinef143 Verified 💖         ,MARCH 8,post,10700.0,  @bhushankumar @tseries.official @asimriaz77.official @shaanmu @shabinakhanofficial @sapruandrao @nehakakkar @tanishk_bagchi @rajahasan_786 32w
901681.0, jacquelinef143 Verified NEWRELEASEDATE9thMARCH!!! 32w,MARCH 7,post,13200.0, 
1607689.0, jacquelinef143 Verified Princessdiaries🌸 33w,MARCH 4,post,4682.0, 
1389235.0," jacquelinef143 Verified Intheend,it’sthewayyoumadepeoplefeelthatmattersthemost❤️shoutouttomypeople          forliterallypushingmeeverydayandbeingapartofthisjourneyfromthebeginning!!❤️❤️❤️#teamJF 33w",FEBRUARY 28,post,3365.0,  @shaanmu @chandiniw @stacey.cardoz @greeshx @abhishek4reel @euri_lifeink @prashantroyalty @shaziasamji @piyush_bhagat @rohanshrestha
6337073.0, jacquelinef143 Verified TikTokmademedoit..🤪🤪 ❤️❤️❤️welcomingmybabies  to too!!! 33w,FEBRUARY 26,video,1389.0,  @tiktok @piyush_bhagat @shaziasamji @tiktok
1031088.0, jacquelinef143 Verified KiskaBrandBajega!🐣 ,FEBRUARY 26,post,2268.0,  @kiska_brand_bajega 34w
1250202.0, jacquelinef143 Verified KiskaBrandBajega!🐣 34w,FEBRUARY 26,post,4809.0, 
1236942.0," jacquelinef143 Verified It’sbeenawhile,feltgood!💖 34w",FEBRUARY 24,post,1389.0, 
536465.0, jacquelinef143 Verified HappySweet16 Brunch!❤️ 34w,FEBRUARY 24,post,2268.0,  @hindustantimes
